Marque,Modèle,Motorisation,Année,Prix en €,Energie,Kilométrage,Département
BMW,X5 F85 M,4.4 575 M,2017,87940,Essence,99960,66
BMW,X6 F86 M,3.0 M50DA 381,2016,71210,Diesel,74058,66
BMW,SERIE 7 F02,4.4 750LIA 408 LUXE,2012,19260,Essence,214000,92
BMW,SERIE 4 F82 M4,3.0 450 M4 PACK COMPETITION,2017,71740,Essence,95485,25
BMW,SERIE 5 G30,3.0 M550DA 400,2020,47580,Diesel,263725,95
BMW,SERIE 7 F01,4.4 465,2012,34080,Hybrides,118007,33
BMW,SERIE 2 F87 COUPE M2,(F87) M2 3.0 COMPETITION 30CV DKG7,2019,63250,Essence,41958,70
BMW,SERIE 2 F87 COUPE M2,3.0 370 M2,2017,61240,Essence,32686,74
BMW,SERIE 3 G80 M3,3.0 510,2019,90000,Essence,61875,25
BMW,X5 F15,3.0 M50D 381,2017,51680,Diesel,115779,84
BMW,X6 E71 M phase 2,3.0 M50DA 381 M,2014,38420,Diesel,140120,25
BMW,X5 E70 phase 2,4.4 XDRIVE50IA 408,2011,28230,Essence,186337,72
BMW,X5 E70 M phase 2,3.0 M50DA 381 M,2020,105140,Diesel,51855,24
BMW,X3 F97 M,3.0 510 M COMPETITION,2020,86560,Essence,59013,1
BMW,SERIE 2 F87 COUPE M2,3.0 412 M,2020,73680,Essence,46573,31
BMW,SERIE 7 G11,3.0 750D 400,2019,59900,Diesel,54515,31
Marque,Modèle,Motorisation,Année,Prix en €,Energie,Kilométrage,Département
BMW,SERIE 5 GT F07,4.4 550IA 408 EXCLUSIVE,2011,24300,Essence,118095,34
BMW,X5 F15,4.4 XDRIVE50I 450 M SPORT,2015,50030,Essence,107160,62
BMW,SERIE 3 G20,3.0 M340I 374,2020,66940,Essence,57331,51
BMW,SERIE 4 F82 M4,3.0 450 M4 PACK COMPETITION,2020,101090,Essence,39570,44
BMW,X5 G05 M,3.0 M50DA 400,2020,90370,Diesel,68163,31
BMW,X5 G05,3.0 XDRIVE45E 394 M SPORT,2020,97900,Hybrides,57601,95
BMW,X6 F86 M,4.4 575 M,2018,78820,Essence,90817,63
BMW,X7 G07,3.0 M50DA 400,2020,132800,Diesel,96902,78
BMW,SERIE 4 F82 M4,3.0 450 M4 PACK COMPETITION,2020,188980,Essence,37,31
BMW,X6 F86 M,3.0 M50DA 381 M,2020,89660,Diesel,34756,6
BMW,SERIE 4 F82 M4,3.0 431 M4,2017,64090,Essence,33370,6
BMW,SERIE 2 F87 COUPE M2,3.0 412 M,2020,80570,Essence,58451,16
BMW,SERIE 4 F82 M4,3.0 450 M4 PACK COMPETITION,2019,76840,Essence,63784,51
BMW,SERIE 2 F87 COUPE M2,3.0 370 M2,2019,59260,Essence,55796,51
BMW,SERIE 3 F80 M3 phase 2,3.0 450 M3 PACK COMPETITION,2017,78700,Essence,90453,51
BMW,SERIE 6 F13,4.4 650I 408 SPORT DESIGN,2012,45610,Essence,84123,63
Marque,Modèle,Motorisation,Année,Prix en €,Energie,Kilométrage,Département
BMW,SERIE 4 F83 CABRIOLET M4,3.0 431 M4,2017,72420,Essence,16263,6
BMW,X5 G05 M,3.0 M50DA 400,2020,100220,Diesel,75060,76
BMW,X5 G05 M,3.0 M50DA 400,2020,95360,Diesel,70627,95
BMW,X5 G05 M,3.0 M50DA 400,2020,83930,Diesel,112125,6
BMW,SERIE 2 F87 COUPE M2,3.0 412 M,2019,85160,Essence,13418,78
BMW,SERIE 2 F87 COUPE M2,3.0 370 M2,2017,52780,Essence,66656,51
BMW,X3 G01,3.0 M40IA 354,2020,73290,Essence,71769,78
BMW,SERIE 3 G20,3.0 M340I 374,2020,70010,Essence,23718,78
BMW,X5 G05 M,3.0 M50DA 400,2020,89580,Diesel,67565,31
BMW,X5 G05,3.0 XDRIVE45E 394 M SPORT,2020,92350,Hybrides,61120,30
